date==dltp3l=2022-03-23  ma_n= 20
day industry code name turnover_ratio pe_ratio industry_cnt inc_revenue_year_rank inc_revenue_annual_rank cfo_sales_rank leverage_ratio_rank
dltp2022-03-23 000048 17.36 2022-01-19 22.83 2022-02-10 19.65 2022-03-17 22.48 2022-03-22 2
dltp2022-03-23 000611 3.01 2022-02-24 3.45 2022-03-11 3.19 2022-03-15 3.6 2022-03-23 0
dltp2022-03-23 000705 7.5 2022-01-27 9.38 2022-03-07 7.91 2022-03-09 10.6 2022-03-22 3
dltp2022-03-23 000975 8.1 2022-01-27 9.55 2022-03-09 8.12 2022-03-15 9.2 2022-03-23 2
dltp2022-03-23 002061 5.54 2022-01-28 7.59 2022-02-22 5.89 2022-03-15 7.35 2022-03-21 2
dltp2022-03-23 002200 7.71 2022-03-11 8.17 2022-03-16 8.05 2022-03-17 9.05 2022-03-23 0
dltp2022-03-23 002296 6.83 2022-01-27 7.97 2022-03-03 7 2022-03-15 7.9 2022-03-23 3
dltp2022-03-23 002418 3.11 2022-03-15 3.41 2022-03-21 3.34 2022-03-22 3.43 2022-03-23 0
dltp2022-03-23 002578 3.74 2022-01-27 4.65 2022-03-02 3.93 2022-03-15 4.75 2022-03-23 2
dltp2022-03-23 002639 9.51 2022-02-22 12.78 2022-03-07 9.72 2022-03-15 13.5 2022-03-23 0
dltp2022-03-23 002660 7.07 2022-01-27 8.08 2022-03-03 7.26 2022-03-15 8.26 2022-03-22 3
dltp2022-03-23 600080 7.41 2022-03-09 8.28 2022-03-11 7.94 2022-03-15 8.31 2022-03-21 0
dltp2022-03-23 600119 7.37 2022-03-09 8 2022-03-11 7.47 2022-03-15 8.37 2022-03-21 3
