date==dltp3l=2022-04-13  ma_n= 20
day industry code name turnover_ratio pe_ratio industry_cnt inc_revenue_year_rank inc_revenue_annual_rank cfo_sales_rank leverage_ratio_rank
dltp-00-2022-04-13 000001 13.68 2022-03-15 15.2 2022-03-24 14.68 2022-03-29 16.4 2022-04-08 0 false
dltp-00-2022-04-13 000048 17.36 2022-01-19 22.83 2022-02-10 19.65 2022-03-17 23.99 2022-04-12 0 false
dltp-00-2022-04-13 000059 6.39 2022-04-07 6.56 2022-04-08 6.48 2022-04-11 6.62 2022-04-13 0 false
dltp-00-2022-04-13 000089 6.47 2022-03-15 7.09 2022-04-06 6.87 2022-04-11 7.16 2022-04-12 0 false
dltp-00-2022-04-13 000099 6.38 2022-03-15 7.03 2022-04-06 6.77 2022-04-11 7.02 2022-04-12 0 false
dltp-00-2022-04-13 000166 4.24 2022-03-15 4.48 2022-04-06 4.36 2022-04-11 4.47 2022-04-12 0 false
dltp-00-2022-04-13 000404 4.12 2022-03-15 4.62 2022-03-22 4.49 2022-03-24 4.96 2022-03-31 0 false
dltp-00-2022-04-13 000416 3.83 2022-03-24 3.9 2022-03-28 3.83 2022-03-29 4.27 2022-04-12 0 false
dltp-00-2022-04-13 000419 4.68 2022-03-15 5.1 2022-03-22 4.95 2022-03-24 5.58 2022-04-12 0 false
dltp-00-2022-04-13 000540 2.2 2022-03-15 2.42 2022-03-23 2.36 2022-03-24 2.65 2022-04-06 0 false
dltp-00-2022-04-13 000559 5.05 2022-03-15 5.5 2022-03-30 5.31 2022-04-07 5.56 2022-04-12 0 false
dltp-00-2022-04-13 000571 1.98 2022-03-25 2.1 2022-04-08 2.04 2022-04-11 2.08 2022-04-13 0 false
dltp-00-2022-04-13 000600 4.03 2022-03-15 4.22 2022-04-06 4.15 2022-04-07 4.21 2022-04-08 0 false
dltp-00-2022-04-13 000603 11.98 2022-03-16 13.85 2022-03-25 12.94 2022-04-07 14.34 2022-04-12 0 false
dltp-00-2022-04-13 000609 4.33 2022-03-15 4.73 2022-03-23 4.57 2022-03-29 4.99 2022-04-12 0 false
dltp-00-2022-04-13 000610 8.1 2022-03-15 9.67 2022-04-06 8.96 2022-04-11 9.86 2022-04-12 0 false
dltp-00-2022-04-13 000616 1.78 2022-03-24 1.82 2022-03-28 1.78 2022-03-29 1.89 2022-04-08 0 false
dltp-00-2022-04-13 000637 5.04 2022-03-30 5.18 2022-03-31 5.07 2022-04-01 5.42 2022-04-08 0 false
dltp-00-2022-04-13 000686 7.35 2022-03-15 7.91 2022-04-06 7.7 2022-04-11 7.91 2022-04-12 0 false
dltp-00-2022-04-13 000702 4.9 2022-03-15 5.75 2022-04-06 5.4 2022-04-11 5.75 2022-04-12 0 false
dltp-00-2022-04-13 000713 8.47 2022-01-25 10.19 2022-02-21 8.57 2022-03-15 10.27 2022-04-11 0 false
dltp-00-2022-04-13 000721 4.37 2022-03-08 4.91 2022-03-21 4.61 2022-03-31 5.39 2022-04-12 0 false
dltp-00-2022-04-13 000735 5.91 2022-03-15 6.45 2022-03-23 6.34 2022-03-24 7.04 2022-04-06 0 false
dltp-00-2022-04-13 000753 3.12 2022-03-15 3.48 2022-03-23 3.43 2022-03-24 3.93 2022-04-06 0 false
dltp-00-2022-04-13 000755 4.44 2022-03-31 4.54 2022-04-06 4.46 2022-04-07 4.69 2022-04-08 0 false
dltp-00-2022-04-13 000758 4.45 2022-03-15 4.79 2022-04-06 4.54 2022-04-11 4.75 2022-04-13 0 false
dltp-00-2022-04-13 000778 4.46 2022-03-15 4.95 2022-03-21 4.59 2022-03-25 5.36 2022-04-08 0 false
dltp-00-2022-04-13 000779 10.2 2022-03-14 12.05 2022-03-21 10.58 2022-04-01 12.2 2022-04-12 0 false
dltp-00-2022-04-13 000786 25.74 2022-03-15 29.38 2022-03-22 27.64 2022-03-29 32.27 2022-04-06 0 false
dltp-00-2022-04-13 000792 28.7 2022-03-15 32.05 2022-03-29 29.3 2022-04-06 31.86 2022-04-08 0 false
dltp-00-2022-04-13 000793 2.52 2022-03-15 2.84 2022-03-23 2.74 2022-03-24 3.03 2022-04-06 0 false
dltp-00-2022-04-13 000816 3.43 2022-03-15 3.79 2022-03-29 3.67 2022-03-30 4 2022-03-31 0 false
dltp-00-2022-04-13 000822 6.29 2022-03-15 7.13 2022-03-30 6.74 2022-04-07 7.7 2022-04-13 0 false
dltp2022-04-13 000878 10.7 2022-03-15 11.73 2022-04-08 11.2 2022-04-11 12.11 2022-04-13 1 false
dltp-00-2022-04-13 000900 3.93 2022-03-15 4.19 2022-03-28 4.16 2022-03-29 4.69 2022-04-11 0 false
dltp-00-2022-04-13 000937 6.84 2022-03-23 7.19 2022-03-28 6.89 2022-03-30 7.49 2022-04-08 0 false
dltp-00-2022-04-13 000975 8.1 2022-01-27 9.55 2022-03-09 8.12 2022-03-15 10.51 2022-04-12 0 false
dltp-00-2022-04-13 000978 5.56 2022-03-15 6.91 2022-03-21 6.3 2022-04-11 6.93 2022-04-12 0 false
dltp-00-2022-04-13 000983 9.99 2022-03-15 12.86 2022-03-29 11.53 2022-04-11 12.78 2022-04-13 0 false
dltp2022-04-13 000985 12.34 2022-03-15 14.06 2022-04-06 13.06 2022-04-11 13.74 2022-04-13 1 false
dltp-00-2022-04-13 002021 1.62 2022-03-15 1.74 2022-04-06 1.7 2022-04-07 1.78 2022-04-08 0 false
dltp-00-2022-04-13 002029 5.03 2022-03-15 5.44 2022-03-25 5.32 2022-03-29 5.78 2022-04-06 0 false
dltp-00-2022-04-13 002081 4.93 2022-03-15 5.68 2022-03-22 5.3 2022-03-29 5.7 2022-04-06 0 false
dltp2022-04-13 002089 1.99 2022-01-25 2.55 2022-02-28 2.08 2022-03-22 2.63 2022-04-13 0 true
dltp-00-2022-04-13 002097 7.14 2022-03-15 7.56 2022-04-06 7.37 2022-04-07 7.75 2022-04-12 0 false
dltp2022-04-13 002098 6.41 2022-03-15 7.29 2022-04-06 6.88 2022-04-11 7.85 2022-04-13 1 false
dltp-00-2022-04-13 002116 8.57 2022-03-14 9.95 2022-03-21 8.99 2022-03-29 10.75 2022-04-12 0 false
dltp-00-2022-04-13 002122 2.34 2022-03-03 2.53 2022-03-22 2.34 2022-04-01 2.59 2022-04-11 0 false
dltp-00-2022-04-13 002142 32.02 2022-03-15 36.3 2022-03-24 35.89 2022-03-28 39.7 2022-04-11 0 false
dltp-00-2022-04-13 002144 9.27 2022-03-15 10.03 2022-03-22 9.81 2022-03-24 11.1 2022-04-12 0 false
dltp-00-2022-04-13 002159 10.58 2022-03-24 11.48 2022-04-06 10.71 2022-04-11 11.78 2022-04-12 0 false
dltp-00-2022-04-13 002186 8.23 2022-03-15 8.94 2022-03-21 8.8 2022-03-24 9.8 2022-04-12 0 false
dltp-00-2022-04-13 002204 3.66 2022-03-15 4.09 2022-04-06 3.89 2022-04-11 4.07 2022-04-12 0 false
dltp-00-2022-04-13 002215 5.97 2022-03-15 6.3 2022-03-16 6.28 2022-03-17 6.88 2022-03-29 0 false
dltp-00-2022-04-13 002216 14.62 2022-03-24 15.24 2022-04-06 14.69 2022-04-08 15.99 2022-04-13 0 false
dltp-00-2022-04-13 002264 4.27 2022-03-15 4.8 2022-03-21 4.57 2022-03-29 5.24 2022-04-12 0 false
dltp-00-2022-04-13 002267 5.86 2022-03-15 6.44 2022-04-06 6.16 2022-04-11 6.71 2022-04-13 0 false
