code	name	sw_l1_name	行业股票数	市值	流通市值	pe	pe行业排名	pb	pb行业排名	ps	ps行业排名	营收同比	营收同比行业排名	现金转化率	现金转化率行业排名	杠杆率	杠杆率行业排名	扣非净/营收
000001	平安银行	银行I	38	4558.4502	4558.4116	14.9399	37	1.5236	36	2.8960000000000004	30	10.18	7	-27.65	19	12.2726	14	0.242
000002	万科A	房地产I	117	3086.8313	2581.9539	7.4277	28	1.3676	68	0.7119	36	30.33	61	27.11	32	5.3677	94	0.0186
000004	国华网安	医药生物I	361	24.9229	17.384	38.2803	162	1.7058	39	8.4827	214	57.1	111	-110.2	356	1.081	23	0.1113
000006	深振业A	房地产I	117	71.5497	71.5497	7.1119	26	0.9373	43	2.2354	69	40.8	54	33.71	29	1.9763	25	0.2859
000009	中国宝安	综合I	35	250.9575	248.2542	30.9121	9	3.5429	16	1.9683	9	129.33	2	6.49	8	2.3743	30	0.033
000010	美丽生态	建筑装饰I	133	33.778	21.5135	63.5987	105	6.8449	113	2.1565	86	224.56	8	-17.87	50	4.3156	116	0.0032
000011	深物业A	房地产I	117	71.1003	62.8085	8.2581	34	1.9228	76	1.72	58	3.42	82	9.34	47	3.1236	56	0.2338
000012	南玻A	建筑材料I	71	262.2371	167.2131	21.1257	38	2.4311	42	2.1955	41	73.41	36	11.35	17	1.6339	33	0.1905
000016	深康佳A	家用电器I	66	154.3493	102.3404	20.0178	18	1.8141	13	0.2947	4	25.82	59	-5.39	40	4.7525	65	-0.0396
000019	深粮控股	商业贸易I	83	84.9418	30.6728	18.5394	23	1.7953	43	0.6678	24	49.3	26	-8.8	62	1.5911	18	0.0526
000020	深华发A	电子I	309	25.173000000000002	16.1056	196.7032	273	7.3645	243	3.1669	116	117.47	43	-2.68	194	1.8651	198	0.0287
000021	深科技	电子I	309	266.8605	251.4833	27.3455	68	2.8896	86	1.7249	45	15.17	266	-4.7	205	2.5639	276	0.0167
000023	深天地A	建筑材料I	71	21.6737	21.6737	280.0327	65	4.6238	55	1.0799	17	134.27	10	-5.93	40	3.4428	67	0.01
000025	特力A	汽车I	192	62.2879	56.7565	84.0069	155	4.6755	149	12.8978	170	68.42	79	-3.31	122	1.2349	25	0.1422
000026	飞亚达	轻工制造I	137	64.1566	52.7272	15.0846	21	2.2033	51	1.2746	25	134.26	15	2.08	59	1.5152	62	0.0824
000027	深圳能源	公用事业I	180	528.5459999999999	528.5459999999999	12.4501	22	1.9394	96	2.3411	86	59.34	36	12.06	71	2.6567	123	0.0878
000028	国药一致	医药生物I	361	171.5077	147.3141	11.5736	24	1.2013	9	0.2728	9	25.15	209	-1.91	262	2.4831	326	0.02
000029	深深房A	房地产I	117	74.4582	65.6262	21.2643	68	1.9151	75	4.1985	80	61.69	46	73.07	14	1.3754	9	0.2104
000030	富奥股份	汽车I	192	123.6607	120.1999	12.3454	20	1.6515	49	1.0194	38	48.79	119	7.67	71	1.7707	109	0.0682
000032	深桑达A	通信I	105	215.74599999999998	82.8608	142.9481	77	2.3892	33	13.6062	82	25.24	68	-7.45	49	1.4079	48	0.0455
000034	神州数码	计算机I	257	111.2083	83.8718	16.8175	5	2.4047	53	0.1133	1	33.69	133	2	42	5.6135	256	0.0063
000035	中国天楹	公用事业I	180	116.3461	113.0992	17.419	61	1.003	20	0.5147	8	14.65	126	8.95	83	4.1705	168	0.0195
000036	华联控股	房地产I	117	54.7572	54.5751	15.9321	54	1.0933	55	3.15	74	-65.1	109	50.8	21	1.8356	21	0.1889
000037	深南电A	公用事业I	180	53.6459	30.1616	82.5722	149	2.6276	127	6.3643	142	-62.23	180	-45.01	165	1.3341	13	-0.1826
000038	深大通	传媒I	148	64.1971	29.2483	85.8445	82	2.2248	45	2.3954	33	213.66	9	-20.81	114	1.1079	7	0.0205
000039	中集集团	机械设备I	415	587.4252	250.7	7.834	3	1.4313	31	0.5481	3	82.08	124	11.25	95	2.7548	377	0.0482
000042	中洲控股	房地产I	117	57.0425	56.8586	24.6828	73	0.7363	24	0.4816	16	168.51	21	-5.93	63	5.3167	93	-0.0702
000045	深纺织A	电子I	309	42.2946	38.1609	49.2534	168	1.5139	10	1.8568	54	43.98	194	-13.62	242	1.2861	94	0.0722
000048	京基智农	农林牧渔I	83	106.4269	106.4102	8.7754	6	4.1668	50	1.8745	32	387.69	3	-29.63	78	2.8531	76	0.203
000049	德赛电池	电子I	309	126.0332	124.8446	16.6423	12	4.5648	192	0.6191	8	33.28	222	4.45	145	2.6586	283	0.0333
000050	深天马A	电子I	309	331.7959	281.5665	19.6124	28	0.9740000000000001	2	1.0723	21	26.06	239	7.71	121	2.2208	253	0.0409
000055	方大集团	建筑装饰I	133	46.4988	29.331999999999997	12.8298	40	0.8521	11	1.4491	73	55.46	63	-65.8	110	2.0464	49	0.0917
000058	深赛格	商业贸易I	83	66.84899999999999	29.1211	94.4497	70	3.448	62	3.9917	59	141.05	2	-13.91	67	2.3497	42	0.0621
000059	华锦股份	化工I	372	122.8372	122.8369	7.0388	3	0.8727	4	0.3801	7	32.14	251	-13.77	305	2.0491	291	0.0687
000060	中金岭南	有色金属I	124	171.7132	171.6607	15.48	5	1.4374	10	0.5155	16	50.6	76	3.04	51	1.9588	83	0.024
000061	农产品	商业贸易I	83	97.4057	97.3849	29.0033	44	1.7825	42	2.9010000000000002	54	25.59	42	13.06	32	2.8477	53	0.0635
